,Source,Target,Type,RawWeight,Weight
788,13,50,Undirected,2,0
789,13,51,Undirected,5,0
790,13,52,Undirected,1,0
791,17,48,Undirected,2,0
792,48,50,Undirected,1,0
793,48,51,Undirected,4,0.238882088915137
794,37,48,Undirected,5,0
795,38,48,Undirected,7,0
796,48,52,Undirected,1,0
797,17,50,Undirected,2,0.812913356642856
798,17,51,Undirected,2,0
799,17,37,Undirected,4,0
800,17,38,Undirected,3,0
801,17,52,Undirected,1,0.511883360978874
802,50,51,Undirected,2,0.812913356642856
803,15,50,Undirected,2,0
804,37,50,Undirected,1,0
805,21,50,Undirected,2,0
806,38,50,Undirected,1,0
807,19,50,Undirected,2,0
808,50,52,Undirected,1,1.11394335230684
809,15,51,Undirected,7,0
810,37,51,Undirected,4,0
811,21,51,Undirected,5,0
812,38,51,Undirected,4,0
813,19,51,Undirected,8,0
814,51,52,Undirected,1,0.511883360978874
815,15,38,Undirected,15,0
816,15,52,Undirected,2,0
817,37,52,Undirected,1,0
818,21,52,Undirected,1,0
819,38,52,Undirected,2,0.373580662812593
820,19,52,Undirected,2,0
821,24,53,Undirected,3,0
822,24,54,Undirected,6,0
823,4,53,Undirected,13,0
824,4,54,Undirected,6,0
825,3,53,Undirected,14,0
826,3,54,Undirected,9,0
827,25,53,Undirected,14,0
828,25,54,Undirected,9,0
829,26,53,Undirected,6,0
830,26,54,Undirected,2,0
831,7,53,Undirected,12,0
832,7,54,Undirected,8,0
833,8,53,Undirected,10,0
834,8,54,Undirected,8,0
835,15,28,Undirected,8,0
836,28,53,Undirected,4,0
837,28,54,Undirected,3,0
838,15,32,Undirected,16,0
839,15,53,Undirected,11,0
840,15,54,Undirected,9,0
841,32,53,Undirected,5,0
842,32,54,Undirected,6,0
843,34,53,Undirected,13,0
844,34,54,Undirected,9,0
845,13,53,Undirected,10,0
846,13,54,Undirected,9,0
847,18,53,Undirected,10,0
848,18,54,Undirected,4,0
849,35,53,Undirected,10,0
850,35,54,Undirected,6,0
851,38,53,Undirected,6,0
852,21,53,Undirected,11,0
853,53,54,Undirected,1,0
854,19,53,Undirected,12,0
855,38,54,Undirected,4,0
856,21,54,Undirected,6,0
857,19,54,Undirected,8,0
858,2,24,Undirected,5,0
859,24,55,Undirected,8,0
860,24,56,Undirected,4,0
861,24,57,Undirected,5,0
862,4,55,Undirected,15,0
863,4,56,Undirected,10,0
864,4,57,Undirected,8,0
865,2,25,Undirected,14,0
866,25,55,Undirected,20,0
867,25,56,Undirected,11,0
